qid	q_1	q_2	label
33	我国合同法合同债权不能转让	合同性质转让债权指	1
33	我国合同法合同债权不能转让	合同性质转让债权指	0
48	近亲结婚包括亲属在内	近亲禁止结婚包括亲属关系	1
48	近亲结婚包括亲属在内	近亲禁止结婚包括亲属关系	0
52	有限公司监事法律责任	监事公司里职位	0
73	偶尔家庭暴力认定家暴	判断认定家庭暴力	0
73	偶尔家庭暴力认定家暴	判断认定家庭暴力	1
124	专债务人债权	债权专债务人	1
124	专债务人债权	债权专债务人	0
184	乘坐客车旅客下车后20分钟撞死客车责任	旅客坐车过程犯病客车义务	0
184	乘坐客车旅客下车后20分钟撞死客车责任	旅客坐车过程犯病客车义务	1
191	运输危险废物污染环境措施	国家危险废物环节纳入管理	0
197	房子还贷银行收回房子	按揭贷款买房子不按时还贷房子会拍卖	0
258	承运人无单放货责任研究 论文好写	案例分析讨论——承运人无单放货托运人反遭败诉	0
268	案子检察院判刑	案子检查院我会判刑	1
268	案子检察院判刑	案子检查院我会判刑	0
358	手机游戏改编小说网上发表算侵权	版权书籍改编成游戏电影法律上会侵权	0
437	不动产登记本人办理	办理房产证本人到场	0
437	不动产登记本人办理	办理房产证本人到场	1
453	房屋租赁登记备案工作	办理房屋租赁登记备案资料	0
453	房屋租赁登记备案工作	办理房屋租赁登记备案资料	1
465	营业执照丢失	办理工商营业执照证件	0
465	营业执照丢失	办理工商营业执照证件	1
495	结婚证公证材料	办理结婚证公证需带材料	1
495	结婚证公证材料	办理结婚证公证需带材料	0
521	办理法人章程公证	办理企业法人资格证书材料	0
521	办理法人章程公证	办理企业法人资格证书材料	1
535	驾驶证扣12分钱搞定	办理身份证收工本费收	0
547	取保候审人故意实施新犯罪申请逮捕	办理完取保候审出批捕令抓人	0
547	取保候审人故意实施新犯罪申请逮捕	办理完取保候审出批捕令抓人	1
563	做遗产继承公证手续	办理遗产公证材料	0
563	做遗产继承公证手续	办理遗产公证材料	1
564	遗产继承公证	办理遗产继承公证需材料	0
564	遗产继承公证	办理遗产继承公证需材料	1
616	约定保证期间情况担保人免除担保责任	约定保证期间担保人免除担保责任	0
616	约定保证期间情况担保人免除担保责任	约定保证期间担保人免除担保责任	1
639	现行法律购买赃物处罚	盗窃犯销售赃物何罪	0
666	绑架罪遂标准	绑架罪概念才算绑架罪	0
672	傍名牌商标申请阶段	傍名牌现象涉嫌侵犯知名厂家权利	0
672	傍名牌商标申请阶段	傍名牌现象涉嫌侵犯知名厂家权利	1
692	投资理财收益分红法律	保本保收益理财产品签署合同受不受法律保护	0
692	投资理财收益分红法律	保本保收益理财产品签署合同受不受法律保护	1
775	保外就医期间犯罪	保外就医期间异地重新犯罪收监	1
775	保外就医期间犯罪	保外就医期间异地重新犯罪收监	0
811	保险机构经营业务监管包括内容	保险法保险公司分业经营	0
812	保险法法定再保险	保险法理赔	0
812	保险法法定再保险	保险法理赔	1
846	汽车出事故后理赔程序	保险公司理赔程序	0
846	汽车出事故后理赔程序	保险公司理赔程序	1
847	投保人保险公司申请索赔程序	保险公司理赔概念	0
853	保险公司拒绝给付赔偿保险金情形	保险公司能以交通事故已过诉讼时效拒绝理赔	0
862	保险公司破产理财产品给付	保险公司破产理财产品给付	1
890	保险合同涉及关系人	保险合同关系人都	1
890	保险合同涉及关系人	保险合同关系人都	0
894	情况下保险金投保人遗产	保险合同受益人指受益人情形	0
894	情况下保险金投保人遗产	保险合同受益人指受益人情形	1
919	重复保险投保人有何法定义务	保险合同中保险人投保人权利义务	0
919	重复保险投保人有何法定义务	保险合同中保险人投保人权利义务	1
944	民法中代位求偿权是	保险人代位求偿权条件内容	0
980	保险诈骗罪诈骗罪区分	保险诈骗罪认定标准	0
980	保险诈骗罪诈骗罪区分	保险诈骗罪认定标准	1
993	汽车保修期内维修交工时费	保修包修区别	0
1161	施工噪音损害赔偿	北京施工噪音 污染赔偿	0
1161	施工噪音损害赔偿	北京施工噪音 污染赔偿	1
1196	背叛国家罪	背叛国家罪特征	0
1196	背叛国家罪	背叛国家罪特征	1
1215	保险责任免除事项保险责任免除事由	被保险人斗殴死投保人获赔	0
1229	人诋毁侵害人赔礼道歉后还对方赔偿	别人恶意诋毁使名誉受损当事人起诉	0
1229	人诋毁侵害人赔礼道歉后还对方赔偿	别人恶意诋毁使名誉受损当事人起诉	1
1278	进看守所预示判刑	逮捕就要坐牢	0
1278	进看守所预示判刑	逮捕就要坐牢	1
1280	委托代理关系中被代理人死亡代理权会终止	被代理人死亡代理人民事法律还	0
1291	电信诈骗中冻结资金才能返还	电信诈骗后才能回银行冻结钱	1
1291	电信诈骗中冻结资金才能返还	电信诈骗后才能回银行冻结钱	0
1297	婚前财产公证情况下	情况下婚后财产公证	0
1297	婚前财产公证情况下	情况下婚后财产公证	1
1301	恶意差评者承担责任	恶意差评勒索网店维权	0
1301	恶意差评者承担责任	恶意差评勒索网店维权	1
1310	父母包办婚姻起诉离婚判离	父母包办婚姻起诉离婚判离	1
1310	父母包办婚姻起诉离婚判离	父母包办婚姻起诉离婚判离	0
1344	情形被告人无罪辩护	被告人被控骗取贷款罪情况辩护无罪	0
1344	情形被告人无罪辩护	被告人被控骗取贷款罪情况辩护无罪	1
1392	被告原告提出反诉	被告情况下提起反诉	0
1392	被告原告提出反诉	被告情况下提起反诉	1
1478	未约定保证方式保证人要还钱	约定保证方式保证人还钱	1
1478	未约定保证方式保证人要还钱	约定保证方式保证人还钱	0
1493	纪检部门被调查者刑讯逼供诱供算不算犯罪	检察院带走意味着	0
1507	夫妻工作证明夫妻生活	夫妻借钱证明夫妻生活	0
1507	夫妻工作证明夫妻生活	夫妻借钱证明夫妻生活	1
1556	人民法院执行没收财产	没收财产后债务	0
1556	人民法院执行没收财产	没收财产后债务	1
1686	侵权人死亡后近亲属请求权顺序	侵权人死亡死者近亲属赔偿	0
1710	报警后警察局不给予	人警察不	0
1751	人辱骂起诉赔偿	人辱骂精神损害赔偿	0
1831	刑事拘留期间请律师	刑事拘留后请律师有用吗	0
1831	刑事拘留期间请律师	刑事拘留后请律师有用吗	1
1871	北京市内征收人选择房屋安置	征收房屋所有权人不	0
1871	北京市内征收人选择房屋安置	征收房屋所有权人不	1
1918	公司财务人员私自转走公司款项罪	公司财务私自收款构成犯罪	0
1925	票据成立具备条件	本票出票人一个人	0
1984	快递东西丢找快递赔偿	快递路途中丢失找赔偿赔偿钱	0
1984	快递东西丢找快递赔偿	快递路途中丢失找赔偿赔偿钱	1
2252	公司无故解雇员工赔偿	病休医疗期已满单位开除	0
2256	剥夺政治权利人	剥夺政治权利人	1
2256	剥夺政治权利人	剥夺政治权利人	0
2312	无权代理签订合同被代理人追认合同效力	无权代理签订合同被代理人追认合同效力	1
2312	无权代理签订合同被代理人追认合同效力	无权代理签订合同被代理人追认合同效力	0
2374	新劳动法旷工	不定时工作制考勤管理	0
2379	旷工处罚不定时工作制员工	不定时制员工打卡	0
2379	旷工处罚不定时工作制员工	不定时制员工打卡	1
2427	不服复议申请去起诉	不服行政复议被告起诉	1
2427	不服复议申请去起诉	不服行政复议被告起诉	0
2431	行政调解异议行政诉讼	不服行政调解民事争议起诉	0
2431	行政调解异议行政诉讼	不服行政调解民事争议起诉	1
2472	刑事案件不公开宣判	不公开审判案件宣判不公开	0
2480	公司提取法定公积金	不计提法定盈余公积金会	0
2485	用人单位不交社保处罚	不交社保企业处罚	1
2485	用人单位不交社保处罚	不交社保企业处罚	0
2489	拖欠物业费物业起诉	不交物业费物业公司起诉	1
2489	拖欠物业费物业起诉	不交物业费物业公司起诉	0
2594	担保物权适用范围	不起诉担保物权	0
2594	担保物权适用范围	不起诉担保物权	1
2614	子女父母分家产	不赡养父母子女分家产	0
2614	子女父母分家产	不赡养父母子女分家产	1
2618	非本人驾驶机动车事故保险公司会理赔	车主本人开车出事故保险公司负责	0
2633	家暴申请人身安全保护令	婚姻案件申请人身安全保护令	0
2660	企业开0税率增值税普通发票	税率开增值税普通发票上	0
2669	物主保管不当过失毁坏财物不赔	不小心毁坏人财物不赔	0
2679	在外兼职不影响本职工作公司以此不发工资赔偿	不影响本职工作公司以此不发工资赔偿	1
2679	在外兼职不影响本职工作公司以此不发工资赔偿	不影响本职工作公司以此不发工资赔偿	0
2715	重婚罪起诉对方小三会坐牢	不知情情况下做小三告重婚	0
2733	劳动局给予行政处罚不交会影响	部门有没有权力员工罚款	0
2757	申请保全财产争议担保数额	财产保全金额超出诉讼标的金额	1
2757	申请保全财产争议担保数额	财产保全金额超出诉讼标的金额	0
2809	财物损害纠纷中赔偿金额说了算	财产损害赔偿纠纷案件提交证据赔偿	0
2809	财物损害纠纷中赔偿金额说了算	财产损害赔偿纠纷案件提交证据赔偿	1
2812	情况下能解除银行签订借款合同	情况下导致银行贷款合同无效	0
2812	情况下能解除银行签订借款合同	情况下导致银行贷款合同无效	1
2833	酒店被盗酒店该不该赔偿损失	财物酒店被盗起诉法院赔偿	0
2833	酒店被盗酒店该不该赔偿损失	财物酒店被盗起诉法院赔偿	1
2883	绑架罪立案标准	参与绑架罪能判几年	0
2883	绑架罪立案标准	参与绑架罪能判几年	1
2954	斗殴中致人死亡负责任	藏匿打架致人死亡者承担法律责任	0
2954	斗殴中致人死亡负责任	藏匿打架致人死亡者承担法律责任	1
2974	夫妻一方退休养老金购买单位房改房共同财产	退休养老金购买单位房改房共同财产	0
2974	夫妻一方退休养老金购买单位房改房共同财产	退休养老金购买单位房改房共同财产	1
3020	征地补偿纳税	拆迁补偿款要交税	0
3020	征地补偿纳税	拆迁补偿款要交税	1
3053	外国人外国登记结婚具备法律效力	外国外国人登记结婚具备法律效力	1
3053	外国人外国登记结婚具备法律效力	外国外国人登记结婚具备法律效力	0
3085	产品导致损害找赔偿	产品质量索赔	0
3085	产品导致损害找赔偿	产品质量索赔	1
3116	产品责任产品责任	产品责任概念	1
3116	产品责任产品责任	产品责任概念	0
3154	生产者产品质量责任义务	产品质量责任要件	0
3199	婚前共同任务离婚后多久不用承担	离婚后多久不用承担婚前债务	0
3199	婚前共同任务离婚后多久不用承担	离婚后多久不用承担婚前债务	1
3252	杜绝超期羁押超期催办	超期羁押解决办法	0
3252	杜绝超期羁押超期催办	超期羁押解决办法	1
3267	超限解体	超限解体	1
3279	遗赠扶养协议遗嘱继承优先	遗赠遗赠扶养协议执行	1
3279	遗赠扶养协议遗嘱继承优先	遗赠遗赠扶养协议执行	0
3302	撞想请律师帮索赔费用	车撞找律师帮忙洽谈费用对方出	0
3302	撞想请律师帮索赔费用	车撞找律师帮忙洽谈费用对方出	1
3331	才买车坏路上被拉去维修我能退款	车坏路上修理人员去修理!	0
3331	才买车坏路上被拉去维修我能退款	车坏路上修理人员去修理!	1
3399	车辆被盗理赔手续	车辆被盗期间发生交通事故保险公司赔付	0
3399	车辆被盗理赔手续	车辆被盗期间发生交通事故保险公司赔付	1
3405	中华人民共和国消费者权益保护法法规内容	车辆召回给与补偿	0
3414	保险公司能以时效已过拒绝理赔	车辆出险驾驶证已过有效期保险公司理赔	0
3414	保险公司能以时效已过拒绝理赔	车辆出险驾驶证已过有效期保险公司理赔	1
3431	办理车辆过户	车辆过户流程	1
3431	办理车辆过户	车辆过户流程	0
3435	父母欠款子女偿还	父母债务子女偿还	1
3435	父母欠款子女偿还	父母债务子女偿还	0
3556	汽车维修店刚修过路上坏	车三包内坏路上厂家不维修	0
3567	司机肇事逃逸后多久交警做出责任认定	车主肇事逃逸后受害人拿到事故认定书	0
3570	追尾事故致人死亡赔偿	车主撞死碰瓷者需不需要赔偿	0
3652	申请撤销仲裁裁决	撤销仲裁应具备条件	0
3652	申请撤销仲裁裁决	撤销仲裁应具备条件	1
3667	委托人技术原因导致技术项目索要余下款项	委托人不配合导致技术咨询项目索要余下款项	0
3667	委托人技术原因导致技术项目索要余下款项	委托人不配合导致技术咨询项目索要余下款项	1
3703	成年子女父母再婚配偶赡养责任	成年子女父母再婚配偶赡养责任	1
3703	成年子女父母再婚配偶赡养责任	成年子女父母再婚配偶赡养责任	0
3813	农民工干活不给钱去讨说法	承揽人工作不符合质量	0
3847	承诺生效后法律后果	承诺生效时合同成立合同生效	0
3847	承诺生效后法律后果	承诺生效时合同成立合同生效	1
3849	受要约人要约内容作出实质性变更	承诺要约内容作出变更	0
3916	租赁合同出租人承租人负有义务	承租人权利义务	0
3923	巡警城管大队综合执法权具备条件	城管执法权来自城管执法法律依据	0
3923	巡警城管大队综合执法权具备条件	城管执法权来自城管执法法律依据	1
4058	持有假币罪该罪要判几年	持有假币罪司法解释	0
4095	交通事故后误工费赔偿标准赔天	出车祸误工费计算工资误工费	0
4111	公证书内容包括	出国公证书种类	0
4111	公证书内容包括	出国公证书种类	1
4145	出口退税条件	出口退税资料	0
4145	出口退税条件	出口退税资料	1
4155	毒驾酒驾保险公司赔付	出车祸司机吸毒保险公司会赔	0
4155	毒驾酒驾保险公司赔付	出车祸司机吸毒保险公司会赔	1
4218	租共享汽车涉水致损坏租车小伙会遭索赔	出租车交通事故扣车运营损失赔偿	0
4273	出租土地征收开发商只补偿承租人	出租土地别人期间征用赔偿违约	0
4273	出租土地征收开发商只补偿承租人	出租土地别人期间征用赔偿违约	1
4305	工伤保险争议部门	工伤保险赔偿纠纷案件应几个	0
4305	工伤保险争议部门	工伤保险赔偿纠纷案件应几个	1
4306	新工伤保险条例新	工伤保险争议案件程序	0
4331	遭遇车祸申请人身安全保护令要收集证据	证据遭遇家暴申请人身安全保护令要收集	0
4331	遭遇车祸申请人身安全保护令要收集证据	证据遭遇家暴申请人身安全保护令要收集	1
4423	串通投标罪要件	串通投标罪定罪证据	1
4423	串通投标罪要件	串通投标罪定罪证据	0
4470	劳动者违反用人单位规章制度认定	辞退违反企业规章制度员工办理流程	0
4487	离职后单位少不工资	辞职不批准还不工资	0
4487	离职后单位少不工资	辞职不批准还不工资	1
4558	涉外继承公证认证办理法律依据	大陆台湾遗产继承手续	0
4589	员工退休后领取养老金	企业退休后每月领到养老金	0
4589	员工退休后领取养老金	企业退休后每月领到养老金	1
4593	定罪量刑中正确从重处罚从轻处罚减轻处罚	从轻处罚减轻处罚区别	0
4593	定罪量刑中正确从重处罚从轻处罚减轻处罚	从轻处罚减轻处罚区别	1
4614	银行贷款转借合同受不受法律	银行贷款借给别人写借条	0
4654	村委会农民出租人农民没签字合法	村委会土地租给村民操作	0
4657	村委会未经表决程序土地租出去	村委会集体土地租赁	0
4657	村委会未经表决程序土地租出去	村委会集体土地租赁	1
4690	搭公交车上下班发生交通事故受伤工伤赔偿	搭网约车上下班发生交通事故工伤赔偿	0
4690	搭公交车上下班发生交通事故受伤工伤赔偿	搭网约车上下班发生交通事故工伤赔偿	1
4692	个体工商户增值税起征点领购发票	达不到起征点个体户领购发票	1
4692	个体工商户增值税起征点领购发票	达不到起征点个体户领购发票	0
4754	行政诉讼案子很难打赢	行政官司诉讼费	0
4769	书遗嘱继承房产证明	一份书遗嘱证明才能继承房产	1
4769	书遗嘱继承房产证明	一份书遗嘱证明才能继承房产	0
4794	经常性配偶实施家暴犯罪	一方家暴犯罪	1
4794	经常性配偶实施家暴犯罪	一方家暴犯罪	0
4830	做离婚亲子鉴定孩子同意	离婚官司做亲子鉴定女方不同意	0
4830	做离婚亲子鉴定孩子同意	离婚官司做亲子鉴定女方不同意	1
4861	60万遗产继承官司诉讼费	遗产官司请律师收费	0
4932	中国孩子犯法	大人小孩犯法	0
4932	中国孩子犯法	大人小孩犯法	1
4948	实习生实习时受伤单位负责	大学生实习期间受伤应认定	0
5032	加盟店广告不符不想加盟特许商以合同没约定不退加盟费	加盟店广告不符特许商以合同没约定不退加盟费	1
5032	加盟店广告不符不想加盟特许商以合同没约定不退加盟费	加盟店广告不符特许商以合同没约定不退加盟费	0
5045	代理种类	代理种类	1
5045	代理种类	代理种类	0
5062	法人授权委托后受托人委托	代理律师受理案件另委脱律师代理合法	0
5099	代位继承条件	代位继承条件	1
5104	情况下代位继承人丧失代位继承权	代位继承权是代位继承法律	0
5104	情况下代位继承人丧失代位继承权	代位继承权是代位继承法律	1
5130	借款交付前保证人任意解除保证合同	贷款担保人解除担保	0
5161	审批却迟迟不放款我要	贷款买房银行审核迟迟不放款	0
5166	公司房地产公司融资贷款资料	贷款买房担保公司担保	0
5180	贷款过期两年 担保人法律责任	贷款人欠银行贷款不还担保人	0
5188	事先约定违约责任还保证人承担责任	约定违约责任债务人还承担责任	0
5188	事先约定违约责任还保证人承担责任	约定违约责任债务人还承担责任	1
