qid	model_lable	rule_label
33	0	1
48	0	1
124	0	1
268	0	1
692	1	0
812	1	0
890	0	1
1196	1	0
1291	0	1
1297	1	0
1392	1	0
1478	0	1
1984	1	0
2312	0	1
2489	0	1
2757	1	0
3053	0	1
3116	0	1
3279	0	1
3431	0	1
3435	0	1
4155	1	0
4692	0	1
4769	0	1
5032	0	1
5188	1	0
5222	0	1
5248	0	1
5459	0	1
5633	1	0
5647	1	0
5709	0	1
5892	1	0
5966	0	1
6022	0	1
6261	0	1
6404	0	1
6576	0	1
6622	0	1
6774	0	1
6951	0	1
7055	1	0
7153	0	1
7490	0	1
7557	1	0
7599	0	1
7658	1	0
7717	1	0
7730	0	1
7834	0	1
8021	0	1
8053	1	0
8154	0	1
8235	1	0
8284	1	0
8428	0	1
8443	0	1
8621	1	0
8916	0	1
9015	1	0
9092	0	1
9147	1	0
9286	0	1
9314	1	0
9567	0	1
9622	1	0
9748	0	1
9839	1	0
9976	0	1
10044	1	0
10060	0	1
10314	1	0
10386	0	1
10843	0	1
10923	0	1
11052	0	1
11108	0	1
11394	1	0
11453	0	1
11525	1	0
11637	1	0
12157	0	1
12213	1	0
12404	1	0
12405	0	1
12561	0	1
12597	0	1
12739	0	1
12829	1	0
13197	1	0
13307	0	1
13654	1	0
13737	1	0
13816	0	1
14090	1	0
14549	1	0
14570	1	0
14749	1	0
14902	0	1
14993	1	0
15245	1	0
15332	1	0
15460	0	1
15482	0	1
15846	0	1
15959	0	1
16043	0	1
16623	0	1
16719	0	1
16733	0	1
16766	0	1
16778	1	0
16995	0	1
17066	0	1
17356	0	1
17365	0	1
17453	1	0
17484	1	0
17546	0	1
17618	1	0
17672	1	0
17680	0	1
17704	1	0
17828	1	0
17855	1	0
17965	1	0
18049	0	1
18205	0	1
18381	1	0
18993	1	0
19042	1	0
19053	0	1
19196	0	1
19564	0	1
19678	1	0
19749	0	1
19877	0	1
19935	0	1
20290	1	0
20410	0	1
20494	0	1
20593	0	1
20735	1	0
20770	1	0
20836	1	0
21292	0	1
21305	1	0
21439	0	1
21665	0	1
21707	0	1
21870	1	0
21898	1	0
21975	1	0
22569	1	0
22746	0	1
22903	1	0
22923	0	1
22924	1	0
22988	0	1
23634	0	1
23639	0	1
23812	0	1
23840	0	1
23890	1	0
23976	1	0
24171	0	1
24384	1	0
24514	0	1
24604	0	1
24615	0	1
24871	1	0
24983	0	1
25085	0	1
25126	0	1
25265	0	1
25296	0	1
25313	0	1
25542	0	1
25565	0	1
26078	1	0
26140	0	1
26236	1	0
26359	1	0
26803	0	1
26890	1	0
27215	0	1
27325	0	1
27636	0	1
27995	0	1
28316	1	0
28317	0	1
28353	1	0
28364	1	0
28365	0	1
28626	1	0
28983	1	0
29139	0	1
29630	0	1
29727	0	1
29879	0	1
30281	0	1
30658	0	1
30674	0	1
30714	1	0
30814	0	1
30882	0	1
30955	1	0
31044	1	0
31077	1	0
31108	1	0
31399	0	1
31496	0	1
31670	1	0
31761	0	1
31931	1	0
31957	0	1
32050	0	1
32159	1	0
32510	1	0
32685	1	0
32719	1	0
32849	0	1
32865	1	0
32881	0	1
32927	1	0
33011	0	1
33234	0	1
33308	0	1
33507	0	1
33621	0	1
33654	0	1
33825	0	1
33898	0	1
33904	1	0
33973	0	1
34108	1	0
34324	1	0
34478	0	1
34544	1	0
34557	1	0
34795	0	1
34798	1	0
35132	1	0
35650	1	0
35666	0	1
35712	1	0
35713	0	1
35904	0	1
35919	1	0
35943	0	1
35987	0	1
36279	0	1
36401	1	0
36409	1	0
36602	0	1
37190	1	0
37214	0	1
37238	0	1
37459	1	0
37784	0	1
37825	0	1
38405	1	0
38584	0	1
38622	1	0
38924	1	0
39667	0	1
40004	1	0
40076	1	0
40487	1	0
40591	1	0
40781	0	1
40841	1	0
40901	1	0
41307	0	1
41491	0	1
41508	0	1
41755	0	1
41806	0	1
41903	0	1
42252	0	1
42369	1	0
42438	0	1
42790	1	0
42825	0	1
43043	0	1
43114	0	1
43562	0	1
43854	1	0
44286	1	0
44306	0	1
44355	0	1
44753	0	1
44858	0	1
44884	0	1
44944	1	0
45177	0	1
45331	0	1
45392	0	1
45505	1	0
45589	0	1
45607	1	0
45896	1	0
46272	0	1
46334	0	1
46941	1	0
47082	1	0
47136	0	1
47327	0	1
47582	1	0
47610	1	0
47697	0	1
47708	0	1
47829	0	1
48124	0	1
48262	1	0
48401	0	1
48664	0	1
49063	1	0
49168	1	0
49197	0	1
49239	0	1
49314	1	0
49353	1	0
49477	1	0
49623	1	0
49788	0	1
49824	0	1
49877	0	1
50140	1	0
50632	1	0
50734	0	1
50821	1	0
50993	1	0
51008	0	1
51232	1	0
51298	1	0
51421	0	1
51553	0	1
52098	1	0
52386	0	1
52398	1	0
52418	1	0
52483	1	0
52518	0	1
52539	1	0
52834	0	1
53059	0	1
53141	0	1
53317	1	0
53369	0	1
53392	1	0
53622	1	0
53795	0	1
53945	0	1
54049	1	0
54348	0	1
54763	1	0
55200	1	0
55230	1	0
55400	1	0
55692	0	1
55694	0	1
55939	1	0
56188	0	1
56424	0	1
56483	0	1
57158	1	0
57189	1	0
57300	1	0
57317	1	0
57718	1	0
57948	1	0
58113	1	0
58213	1	0
58293	0	1
