qid	q_1	q_2	label
33	我国合同法合同债权不能转让	合同性质转让债权指	1
48	近亲结婚包括亲属在内	近亲禁止结婚包括亲属关系	1
73	偶尔家庭暴力认定家暴	判断认定家庭暴力	0
124	专债务人债权	债权专债务人	1
184	乘坐客车旅客下车后20分钟撞死客车责任	旅客坐车过程犯病客车义务	0
268	案子检察院判刑	案子检查院我会判刑	1
437	不动产登记本人办理	办理房产证本人到场	0
453	房屋租赁登记备案工作	办理房屋租赁登记备案资料	0
465	营业执照丢失	办理工商营业执照证件	0
495	结婚证公证材料	办理结婚证公证需带材料	1
521	办理法人章程公证	办理企业法人资格证书材料	0
547	取保候审人故意实施新犯罪申请逮捕	办理完取保候审出批捕令抓人	0
563	做遗产继承公证手续	办理遗产公证材料	0
564	遗产继承公证	办理遗产继承公证需材料	0
616	约定保证期间担保人免除担保责任	约定保证期间担保人免除担保责任	1
672	傍名牌商标申请阶段	傍名牌现象涉嫌侵犯知名厂家权利	0
692	投资理财收益分红法律	保本保收益理财产品签署合同受不受法律保护	0
775	保外就医期间犯罪	保外就医期间异地重新犯罪收监	1
812	保险法法定再保险	保险法理赔	0
846	汽车出事故后理赔程序	保险公司理赔程序	0
862	保险公司破产理财产品给付	保险公司破产理财产品给付	1
890	保险合同涉及关系人	保险合同关系人都	1
894	保险金投保人遗产	保险合同受益人指受益人情形	0
919	重复保险投保人有何法定义务	保险合同中保险人投保人权利义务	0
926	保险金额保险价值关系	保险金额保险价值区别	0
980	保险诈骗罪诈骗罪区分	保险诈骗罪认定标准	0
1161	施工噪音损害能要赔偿	北京施工噪音 污染赔偿	0
1196	背叛国家罪	背叛国家罪特征	0
1229	人诋毁侵害人赔礼道歉后还对方赔偿	别人恶意诋毁使名誉受损当事人起诉	0
1278	进看守所预示判刑	逮捕就要坐牢	0
1291	电信诈骗中冻结资金才能返还	电信诈骗后才能回银行冻结钱	1
1297	婚前财产公证	婚后财产公证	1
1301	恶意差评者承担责任	恶意差评勒索网店维权	0
1310	父母包办婚姻起诉离婚判离	父母包办婚姻起诉离婚判离	1
1344	情形被告人无罪辩护	被告人被控骗取贷款罪情况辩护无罪	0
1392	被告原告提出反诉	被告提起反诉	0
1478	未约定保证方式保证人要还钱	约定保证方式保证人还钱	1
1507	夫妻工作证明夫妻生活	夫妻借钱证明夫妻生活	0
1556	人民法院执行没收财产	没收财产后债务	0
1751	人辱骂起诉赔偿	人辱骂精神损害赔偿	0
1831	刑事拘留期间请律师	刑事拘留后请律师有用吗	0
1871	北京市内征收人选择房屋安置	征收房屋所有权人不	0
1984	快递东西丢找快递赔偿	快递路途中丢失找赔偿赔偿钱	0
2256	剥夺政治权利人	剥夺政治权利人	1
2312	无权代理签订合同被代理人追认合同效力	无权代理签订合同被代理人追认合同效力	1
2379	旷工处罚不定时工作制员工	不定时制员工打卡	0
2427	不服复议申请去起诉	不服行政复议被告起诉	1
2431	行政调解异议行政诉讼	不服行政调解民事争议起诉	0
2485	用人单位不交社保处罚	不交社保企业处罚	1
2489	拖欠物业费物业起诉	不交物业费物业公司起诉	1
2594	担保物权适用范围	不起诉担保物权	0
2614	子女父母分家产	不赡养父母子女分家产	0
2669	物主保管不当过失毁坏财物不赔	不小心毁坏人财物不赔	0
2679	在外兼职不影响本职工作公司以此不发工资赔偿	不影响本职工作公司以此不发工资赔偿	1
2757	申请保全财产争议担保数额	财产保全金额超出诉讼标的金额题	1
2809	财物损害纠纷中赔偿金额说了算	财产损害赔偿纠纷案件提交证据赔偿	0
2812	解除银行签订借款合同	导致银行贷款合同无效	1
2833	酒店被盗酒店该不该赔偿损失	财物酒店被盗起诉法院赔偿	0
2877	借钱不当地法院起诉	借钱不还当地法院起诉	1
2883	绑架罪立案标准	参与绑架罪能判几年	1
2954	斗殴中致人死亡负责任	藏匿打架致人死亡者承担法律责任	0
2974	夫妻一方退休养老金购买单位房改房共同财产	退休养老金购买单位房改房共同财产	0
3020	征地补偿纳税	拆迁补偿款要交税	0
3053	外国人外国登记结婚具备法律效力	外国外国人登记结婚具备法律效力	1
3055	产假期间工资发放	产假期间工资发放	1
3085	产品导致损害找赔偿	产品质量题索赔	0
3116	产品责任产品责任	产品责任概念	1
3199	婚前共同任务离婚后多久不用承担	离婚后多久不用承担婚前债务	0
